scenario,threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,review_rate,fraud_amount_detected,fraud_amount_missed,missed_fraud_cost,false_positive_cost,total_estimated_cost,fraud_loss_multiplier,review_cost_per_transaction
medium,0.28,0.17119026457920283,0.8231426692965155,0.2834342633991737,2504,12123,73416,538,0.1651257041577765,423490.861,73416.727,73416.727,60615.0,134031.727,1.0,5.0
medium,0.29,0.177095968605066,0.8159105851413544,0.29102421293310665,2482,11533,74006,560,0.1582167733486865,419997.57300000003,76910.015,76910.015,57665.0,134575.015,1.0,5.0
medium,0.3,0.18354241338112307,0.8080210387902695,0.29913593769015456,2458,10934,74605,584,0.15118366241067496,413179.20999999996,83728.378,83728.378,54670.0,138398.378,1.0,5.0
medium,0.31,0.19023477107869902,0.8017751479289941,0.30750803757170775,2439,10382,75157,603,0.1447375848093835,410254.41500000004,86653.17300000001,86653.17300000001,51910.0,138563.173,1.0,5.0
medium,0.32,0.1971153846153846,0.7952005259697568,0.3159200731356928,2419,9853,75686,623,0.13853986746593513,408788.349,88119.239,88119.239,49265.0,137384.239,1.0,5.0
medium,0.33,0.2038232795242141,0.7886259040105194,0.3239265460437483,2399,9371,76168,643,0.13287273794606067,406070.892,90836.696,90836.696,46855.0,137691.696,1.0,5.0
medium,0.34,0.21061978334221276,0.779750164365549,0.33165548098434006,2372,8890,76649,670,0.1271378738104108,401506.35900000005,95401.22899999999,95401.22899999999,44450.0,139851.229,1.0,5.0
medium,0.35,0.21735506575291721,0.7715318869165023,0.3391618497109827,2347,8451,77088,695,0.12189973019044716,397585.341,99322.247,99322.247,42255.0,141577.247,1.0,5.0
medium,0.36,0.22472018525665766,0.7656147271531887,0.3474563628226167,2329,8035,77504,713,0.11700025964936048,394593.461,102314.127,102314.127,40175.0,142489.12699999998,1.0,5.0
medium,0.37,0.2316633266533066,0.760026298487837,0.35509138381201044,2312,7668,77871,730,0.11266524423973538,392915.88800000004,103991.70000000001,103991.70000000001,38340.0,142331.7,1.0,5.0
medium,0.38,0.23931623931623933,0.7547666009204471,0.36340614118391895,2296,7298,78241,746,0.10830765062485183,390486.47699999996,106421.111,106421.111,36490.0,142911.111,1.0,5.0
medium,0.39,0.2461738847281016,0.7455621301775148,0.3701346389228886,2268,6945,78594,774,0.10400650252311444,385675.508,111232.08,111232.08,34725.0,145957.08000000002,1.0,5.0
medium,0.4,0.2521915037086986,0.73767258382643,0.3758793969849246,2244,6654,78885,798,0.10045043519490636,380546.74700000003,116360.84099999999,116360.84099999999,33270.0,149630.841,1.0,5.0
medium,0.41,0.25941471376938324,0.7314266929651545,0.38299337292365954,2225,6352,79187,817,0.09682663325092289,376663.519,120244.069,120244.069,31760.0,152004.06900000002,1.0,5.0
medium,0.42,0.2677641931969495,0.7271531886916502,0.3914005131381049,2212,6049,79490,830,0.09325927682008557,373998.04099999997,122909.54699999999,122909.54699999999,30245.0,153154.547,1.0,5.0
medium,0.43,0.2755806654111739,0.7215647600262984,0.3988371036613064,2195,5770,79769,847,0.08991770244183289,371441.141,125466.44699999999,125466.44699999999,28850.0,154316.447,1.0,5.0
medium,0.44,0.2832008340935749,0.7143326758711374,0.4055996266915539,2173,5500,80039,869,0.08662128447409716,367087.414,129820.174,129820.174,27500.0,157320.174,1.0,5.0
medium,0.45,0.2911186440677966,0.7057856673241288,0.41221080925410386,2147,5228,80311,895,0.08325713189058602,361732.511,135175.077,135175.077,26140.0,161315.077,1.0,5.0
medium,0.46,0.30045095828635854,0.7008547008547008,0.4205957782600118,2132,4964,80575,910,0.08010747225703028,358107.125,138800.463,138800.463,24820.0,163620.463,1.0,5.0
medium,0.47,0.30871405634213983,0.6952662721893491,0.4275750530678257,2115,4736,80803,927,0.07734164211286845,354748.63800000004,142158.95,142158.95,23680.0,165838.95,1.0,5.0
medium,0.48,0.3177966101694915,0.6903353057199211,0.43523316062176165,2100,4508,81031,942,0.07459839017396507,350541.738,146365.84999999998,146365.84999999998,22540.0,168905.84999999998,1.0,5.0
medium,0.49,0.32615191067777954,0.6817882971729126,0.4412296564195298,2074,4285,81254,968,0.0717874036192863,345216.658,151690.93,151690.93,21425.0,173115.93,1.0,5.0
medium,0.5,0.3350666233344166,0.6778435239973701,0.44845585036972596,2062,4092,81447,980,0.06947313758029375,343130.208,153777.38,153777.38,20460.0,174237.38,1.0,5.0
medium,0.51,0.34202118715318647,0.6686390532544378,0.4525531204805874,2034,3913,81626,1008,0.06713629333604272,337855.583,159052.005,159052.005,19565.0,178617.005,1.0,5.0
medium,0.52,0.35223517133414506,0.665680473372781,0.46069844158798773,2025,3724,81815,1017,0.06490105101545478,336852.377,160055.211,160055.211,18620.0,178675.211,1.0,5.0
